vote_average,title
6.4,Destination Tokyo
4.8,Dr. Jekyll and Ms. Hyde
5.9,Dream Lover
5.3,Fausto 5.0
5.3,For Queen & Country
4.8,Funny About Love
7.2,The Greatest
3.0,Grief
4.5,Hometown Legend
5.5,How I Got Into College
6.7,Map of the Human Heart
7.2,Mr. Blandings Builds His Dream House
7.2,My Favorite Wife
5.8,The New Adventures of Pippi Longstocking
4.8,Night and Day
5.6,No Name on the Bullet
7.0,The Plainsman
5.9,Slaughter of the Innocents
7.1,The Snake Pit
5.8,The Spoilers
5.5,The Super
4.3,Tai-Pan
5.7,Two of a Kind
3.7,Warriors
7.8,The Leopard
4.3,"Goodbye, Columbus"
5.3,The President's Analyst
6.2,The Day of the Locust
6.0,The Creeping Flesh
6.0,Swann in Love
6.7,To End All Wars
6.5,Moulin Rouge
6.6,The Belly of an Architect
6.1,The Nest
5.4,Love Happy
6.0,High School Confidential!
6.5,Out of the Blue
4.0,Crimetime
7.5,A Woman Is a Woman
7.5,Mamma Roma
6.7,The Lower Depths
4.4,Ruby Cairo
4.8,Night Patrol
5.1,Biggles
5.1,Fancy Pants
6.5,The World of Suzie Wong
5.9,King of the Ants
5.1,Uncle Sam
7.5,"Yesterday, Today and Tomorrow"
7.4,La Belle Noiseuse
5.9,La balance
7.2,Gun Crazy
6.8,The Set-Up
8.3,Unprecedented: The 2000 Presidential Election
6.3,The Prime of Miss Jean Brodie
7.2,My Voyage to Italy
5.5,The North Avenue Irregulars
5.2,Lovers and Other Strangers
6.7,Kotch
6.8,Greyfriars Bobby: The True Story of a Dog
4.0,Side Out
6.8,The Three Lives of Thomasina
6.7,"No Deposit, No Return"
5.5,"The One and Only, Genuine, Original Family Band"
7.1,This Gun for Hire
5.8,Black Angel
6.5,The Big Clock
6.7,Criss Cross
6.0,The Fifth Musketeer
5.2,Evilspeak
6.6,Terror by Night
7.0,The Spy Who Came in from the Cold
6.8,Sherlock Holmes and the Secret Weapon
6.2,The Woman in Green
5.2,The Counterfeit Traitor
5.6,"One, Two, Three, Sun"
5.3,Roadkill
6.8,Dressed to Kill
5.7,Bon voyage
5.8,The Assassination Bureau
6.2,The Manchurian Candidate
4.2,Thunderbirds
6.2,The Village
7.1,Garden State
8.1,Early Summer
7.4,Port of Shadows
5.9,Thunderbirds are GO
6.1,Thunderbird 6
5.1,Castle Keep
3.8,Revengers Tragedy
5.1,Octane
6.3,The Warrior
6.1,A Funny Thing Happened on the Way to the Forum
7.8,Salesman
7.0,Collateral
5.2,Little Black Book
6.2,Code 46
5.9,In the Soup
6.2,They Came to Cordura
6.4,Blue Spring
7.8,Story of Women
5.9,Masques
6.6,Harold & Kumar Go to White Castle
6.0,The Princess Diaries 2: Royal Engagement
5.6,Danny Deckchair
5.6,AVP: Alien vs. Predator
5.4,Yu-Gi-Oh! The Movie
6.4,Novo
5.8,We Don't Live Here Anymore
5.3,Without a Paddle
4.7,Exorcist: The Beginning
5.3,Speedway
5.3,The Trouble with Girls
5.4,It Happened at the World's Fair
6.1,Double Trouble
5.2,Spinout
5.5,Harum Scarum
5.1,The Spaceman and King Arthur
4.5,The Sting II
5.4,If a Man Answers
5.2,Cheerleader Camp
6.4,Human Resources
7.5,Bill Cosby: Himself
6.9,Dead Ringer
4.8,Benji: Off the Leash!
4.9,Anacondas: The Hunt for the Blood Orchid
5.5,Suspect Zero
5.5,Vanity Fair
4.6,The Cookout
5.8,Paparazzi
6.7,Wicker Park
4.7,Triggermen
6.7,Alice Doesn't Live Here Anymore
4.4,The Mangler
5.9,Who's That Knocking at My Door
5.6,Seeing Other People
4.3,A Million to Juan
5.8,Highwaymen
5.4,Graffiti Bridge
7.6,I Vitelloni
5.7,Under the Cherry Moon
5.1,Flipper
6.9,Smile
6.8,Lord Jim
6.0,A Small Circle of Friends
6.1,Night of the Demons
5.8,Witchboard
5.0,Roller Boogie
6.5,Lilith
4.6,The Apple
1.9,Superbabies: Baby Geniuses 2
6.1,Cellular
6.1,Resident Evil: Apocalypse
6.5,Criminal
7.0,Evergreen
5.0,Mr. 3000
5.7,Sky Captain and the World of Tomorrow
6.0,Wimbledon
5.2,Anatomy of Hell
5.8,Head in the Clouds
5.4,First Daughter
5.5,The Forgotten
5.9,The Last Shot
5.4,A Dirty Shame
7.2,The Motorcycle Diaries
7.5,Shaun of the Dead
6.4,"Come Back, Little Sheba"
3.3,The Black Orchid
5.6,Second Chorus
4.9,Class of Nuke 'Em High 2: Subhumanoid Meltdown
6.9,Murder on the Orient Express
7.0,Mask
4.8,Alexander's Ragtime Band
6.7,The Boston Strangler
5.7,The Last Flight of Noah's Ark
5.4,The Man with One Red Shoe
6.3,The Sentinel
5.9,Sssssss
5.8,Whispers in the Dark
4.3,Stealing Time
5.3,The Legacy
6.1,The Alligator People
4.7,Hear No Evil
4.8,Basket Case 3
5.6,Basket Case 2
5.5,Orca: The Killer Whale
5.3,AKA
6.0,I Married a Monster from Outer Space
6.1,The Trojan Women
6.4,Robinson Crusoe
6.7,Hardcore
6.8,Watermelon Man
6.7,Flashpoint
6.7,Bug
5.0,The Terror
4.1,Jack O
6.1,1492: Conquest of Paradise
5.8,Cannibal Holocaust
5.8,Shark Tale
6.2,Ladder 49
6.2,I Heart Huckabees
6.0,Raise Your Voice
4.8,Taxi
6.1,Around the Bend
6.9,Primer
7.0,Stage Beauty
5.9,Shall We Dance?
6.6,Team America: World Police
6.4,Eulogy
5.9,P.S.
6.7,The Country Girl
6.4,The Rose Tattoo
6.6,Tess
6.5,I Wanna Hold Your Hand
6.0,Spinning Boris
5.9,Circle of Iron
5.7,Cannonball
6.9,The Fearless Vampire Killers
5.6,Black Beauty
6.7,Born Rich
5.6,It's Alive
6.8,The Decline of the American Empire
6.4,Bébé's Kids
5.6,All I Want For Christmas
6.4,Life and Nothing But
7.0,Friday Night Lights
7.5,Tarnation
5.9,The Final Cut
0.5,Hair Show
5.0,Riding the Bullet
4.8,Spin
6.4,Being Julia
4.5,The Dust Factory
6.3,Thérèse: The Story of Saint Thérèse of Lisieux
5.1,Surviving Christmas
5.8,The Grudge
5.5,Alfie
6.9,Sideways
7.3,The Machinist
6.8,Vera Drake
6.2,Falling Angels
3.5,Stella Street
9.0,Lightning in a Bottle
5.9,Undertow
5.8,Enduring Love
7.2,Saw
7.2,Ray
5.9,Birth
9.0,Voices of Iraq
7.4,The Incredibles
7.1,Fade to Black
5.9,It's All About Love
6.0,Callas Forever
6.4,The Polar Express
6.6,Kinsey
4.9,Seed of Chucky
6.0,After the Sunset
6.1,Bridget Jones: The Edge of Reason
7.2,Finding Neverland
6.4,National Treasure
7.1,Bad Education
6.7,The SpongeBob SquarePants Movie
4.3,San Antonio
5.6,Alexander
5.2,Christmas with the Kranks
7.0,Guerrilla: The Taking of Patty Hearst
6.2,Our Music
6.7,Closer
6.9,I Am David
6.4,Ocean's Twelve
5.7,Blade: Trinity
6.1,The Bellboy
7.0,Bush's Brain
6.7,Cinderfella
7.2,Damn Yankees!
6.4,The Delicate Delinquent
5.8,The Disorderly Orderly
5.5,The Errand Boy
6.2,The Family Jewels
7.0,The Ladies Man
5.7,The Patsy
5.6,Stateside
6.7,The Stooge
7.9,That's Entertainment!
6.6,"That's Entertainment, Part II"
7.5,That's Entertainment! III
5.1,The Wackiest Ship in the Army
6.0,Alexander the Great
5.0,Conquest of Space
6.2,D.A.R.Y.L.
6.5,Fire in the Sky
6.1,The Garden of Allah
4.9,I'll Be Seeing You
6.3,The Invisible Man Returns
5.2,The Last Minute
7.4,Love Me If You Dare
6.9,Portrait of Jennie
6.8,Ruby Gentry
6.8,Secret Honor
4.1,Since You Went Away
2.5,A Slipping Down Life
5.1,Splatter University
4.5,Twist
7.7,Control Room
9.0,Celsius 41.11: The Temperature at Which the Brain... Begins to Die
6.6,Applause
6.9,Little Caesar
6.7,L'Âge d'Or
6.8,The Champ
7.1,Monkey Business
6.2,Night Nurse
6.9,Boudu Saved from Drowning
5.8,Doctor X
6.5,Land Without Bread
6.7,The Old Dark House
4.0,Rasputin and the Empress
7.5,Scarface
6.5,Shanghai Express
7.0,"I Was Born, But..."
7.2,Vampyr
5.7,What Price Hollywood?
6.5,Dinner at Eight
5.0,The Ghoul
7.2,Gold Diggers of 1933
7.0,Island of Lost Souls
6.2,Lady for a Day
5.2,She Done Him Wrong
5.2,The Son of Kong
5.0,The Vampire Bat
6.2,Wild Boys of the Road
7.3,L'Atalante
4.7,The Barretts of Wimpole Street
6.5,The Black Cat
6.1,Imitation of Life
4.0,The Lawless Frontier
5.9,The Lost Patrol
7.1,The Scarlet Pimpernel
7.1,Toni
7.1,Bonnie Scotland
6.5,The Informer
6.1,Mark of the Vampire
6.8,The Raven
6.4,Werewolf of London
6.2,The Crime of Monsieur Lange
7.5,Fury
6.6,Libeled Lady
7.3,Mr. Deeds Goes to Town
7.1,The Petrified Forest
3.0,Revolt of the Zombies
7.5,Show Boat
7.2,These Three
6.5,Wife vs. Secretary
6.8,Camille
6.7,Captains Courageous
7.1,Dead End
7.5,Double Wedding
6.6,Nothing Sacred
8.4,The Prisoner of Zenda
6.2,Stage Door
6.2,Topper
7.0,The Big Broadcast of 1938
6.3,The Dawn Patrol
7.0,Holiday
6.5,The Shopworn Angel
7.1,Gaslight
8.3,Intermezzo: A Love Story
7.5,The Roaring Twenties
7.4,Wuthering Heights
7.7,The Story of the Last Chrysanthemum
6.0,Abe Lincoln in Illinois
6.5,Boom Town
6.7,Brother Orchid
6.0,"Edison, the Man"
7.4,The Letter
7.2,The Sea Hawk
7.4,Ball of Fire
6.9,The 47 Ronin
6.0,Here Comes Mr. Jordan
6.2,In the Navy
7.7,It Started with Eve
7.2,Never Give a Sucker an Even Break
7.0,That Uncertain Feeling
6.5,Across the Pacific
6.2,All Through the Night
7.1,Gentleman Jim
7.3,The Hard Way
4.3,My Favorite Blonde
5.6,Why We Fight: Prelude to War
6.7,Random Harvest
6.9,Tales of Manhattan
7.0,Action in the North Atlantic
6.0,A Guy Named Joe
6.9,Heaven Can Wait
5.5,The Heavenly Body
5.0,The Memphis Belle: A Story of a Flying Fortress
6.4,Mr. Lucky
7.0,Thousands Cheer
6.4,Cover Girl
5.8,The Curse of the Cat People
7.0,Henry V
6.1,The Mask of Dimitrios
6.5,Ministry of Fear
6.7,The Miracle of Morgan’s Creek
6.8,Mr. Skeffington
6.6,Mrs. Parkington
6.4,Passage to Marseille
4.7,The White Cliffs of Dover
7.5,The Woman in the Window
5.4,The Enchanted Cottage
5.6,Isle of the Dead
5.7,The Southerner
6.0,They Were Expendable
7.3,A Tree Grows in Brooklyn
6.8,The Beast with Five Fingers
6.6,The Blue Dahlia
6.3,The Dark Mirror
5.9,Deception
7.2,Great Expectations
7.1,Humoresque
7.6,Shoeshine
7.0,The Stranger
6.7,Mourning Becomes Electra
7.4,Nightmare Alley
7.3,Odd Man Out
6.5,Road to Rio
6.0,The Two Mrs. Carrolls
6.1,3 Godfathers
6.0,B.F.'s Daughter
5.0,The Babe Ruth Story
6.7,Easter Parade
6.8,Fort Apache
7.2,The Lady from Shanghai
8.1,Letter from an Unknown Woman
6.5,Louisiana Story
7.2,The Naked City
6.6,The Pirate
6.5,They Live by Night
6.2,The Three Musketeers
7.8,Unfaithfully Yours
6.7,Yellow Sky
7.4,The Barkleys of Broadway
6.7,In the Good Old Summertime
6.8,A Letter to Three Wives
8.0,Orpheus
6.7,The Secret Garden
4.5,The Story of Seabiscuit
7.3,Annie Get Your Gun
6.7,Les Enfants Terribles
6.7,The Gunfighter
6.3,King Solomon's Mines
7.9,Los Olvidados
6.6,Scandal
6.5,Summer Stock
7.1,Europe '51
6.6,Carbine Williams
5.3,Carrie
6.8,Clash by Night
6.9,The Prisoner of Zenda
8.4,The Life of Oharu
6.2,Son of Paleface
6.7,Abbott and Costello Meet Dr. Jekyll and Mr. Hyde
5.5,Gun Fury
6.6,Gate of Hell
5.3,Man on a Tightrope
7.3,The Titfield Thunderbolt
6.4,The Belles of St. Trinian's
7.6,The Crucified Lovers
6.4,French Cancan
7.7,It Should Happen to You
7.3,"The Long, Long Trailer"
6.9,Magnificent Obsession
7.3,Salt of the Earth
7.4,Samurai I: Musashi Miyamoto
7.1,A Star Is Born
6.2,Three Coins in the Fountain
6.9,The Wild One
4.3,The Cobweb
8.7,It's Always Fair Weather
6.8,Mr. Arkadin
8.3,Night and Fog
7.3,Samurai II: Duel at Ichijoji Temple
6.3,The Seven Little Foys
7.5,Anything Goes
7.7,The Burmese Harp
5.5,Carousel
7.4,Samurai III: Duel at Ganryu Island
5.7,Rodan
5.3,Barnacle Bill
7.1,Chase a Crooked Shadow
5.9,Fiend Without a Face
5.8,Jailhouse Rock
6.2,Man of a Thousand Faces
6.4,The Spirit of St. Louis
4.4,The Undead
6.7,Zero Hour!
5.4,Carve Her Name with Pride
6.3,Corridors of Blood
5.8,Giants and Toys
7.5,The Last Hurrah
6.6,Machine-Gun Kelly
6.5,Teacher's Pet
5.8,Torpedo Run
6.7,The Vikings
6.9,Al Capone
6.1,Picnic on the Grass
4.9,Invisible Invaders
8.5,The Human Condition II: Road to Eternity
7.8,Fires on the Plain
7.1,North West Frontier
7.4,The Nun's Story
7.3,Pickpocket
7.7,Floating Weeds
7.1,The Young Philadelphians
4.8,The Leech Woman
8.1,When a Woman Ascends the Stairs
6.8,The Sundowners
6.3,Sunrise at Campobello
7.7,The Bad Sleep Well
7.2,Bachelor in Paradise
4.8,The Deadly Companions
5.8,The Four Horsemen of the Apocalypse
6.4,The Intruder
7.0,Murder She Said
8.4,The Human Condition III: A Soldier's Prayer
5.1,Paris Blues
6.7,Taste of Fear
7.5,Advise & Consent
6.7,David and Lisa
2.8,Eegah
8.2,Harakiri
7.5,The Loneliness of the Long Distance Runner
6.7,The Music Man
6.5,Mutiny on the Bounty
8.5,An Occurrence at Owl Creek Bridge
7.5,The Four Days of Naples
8.1,Il Sorpasso
5.8,The Wonderful World of the Brothers Grimm
7.7,L'eclisse
6.2,Les Carabiniers
6.6,The Cardinal
2.7,The Incredibly Strange Creatures Who Stopped Living and Became Mixed-Up Zombies!!?
6.7,The Kiss of the Vampire
6.2,Love with the Proper Stranger
6.2,McLintock!
6.3,Murder at the Gallop
6.4,The Prize
5.3,Sunday in New York
7.8,Crooks in Clover
6.9,36 Hours
7.2,Becket
5.0,Behold a Pale Horse
6.6,The Best Man
7.0,"Hush... Hush, Sweet Charlotte"
6.5,The Killers
6.7,The Naked Kiss
7.6,Onibaba
6.2,Robin and the 7 Hoods
6.5,Robinson Crusoe on Mars
7.1,Spider Baby
6.6,The Visit
7.2,What a Way to Go!
7.8,The Battle of Algiers
7.5,A Charlie Brown Christmas
6.1,Dracula: Prince of Darkness
6.1,The Hallelujah Trail
5.9,The Heroes of Telemark
7.6,The Hill
6.5,In Harm's Way
6.7,The Loved One
6.2,Major Dundee
5.9,Operation Crossbow
6.0,Ride in the Whirlwind
6.8,A Thousand Clowns
7.2,The Train
7.8,Au Hasard Balthazar
6.1,Batman
6.3,Grand Prix
5.8,Khartoum
2.0,Manos: The Hands of Fate
7.4,Tokyo Drifter
6.4,Asterix the Gaul
3.9,"Gappa, the Triphibian Monster"
7.5,Dont Look Back
6.8,Fando and Lis
5.9,The Incident
7.4,Branded to Kill
7.3,The Bride Wore Black
8.0,PlayTime
7.1,Point Blank
6.1,The Shooting
5.8,The St. Valentine's Day Massacre
7.3,Titicut Follies
6.2,Tony Rome
7.2,Two for the Road
6.2,Up the Down Staircase
6.6,The War Wagon
6.9,Asterix and Cleopatra
6.8,Dracula Has Risen from the Grave
6.4,Head
7.2,The Heart Is a Lonely Hunter
5.8,"I Love You, Alice B. Toklas!"
6.0,Petulia
7.0,The Subject Was Roses
6.5,Sympathy for the Devil
6.2,"Yours, Mine and Ours"
5.5,Alice's Restaurant
6.4,Camille 2000
7.1,Colossus: The Forbin Project
6.9,Death Rides a Horse
7.1,"Goodbye, Mr. Chips"
6.3,Journey to the Far Side of the Sun
5.0,Last Summer
7.6,My Night at Maud's
6.0,The Magic Christian
6.2,Marlowe
6.5,More
5.9,The Reivers
5.9,Taste the Blood of Dracula
6.2,...tick... tick... tick...
6.7,Brewster McCloud
6.9,Violent City
5.8,Dirty Dingus Magee
6.7,Dodes'ka-den
5.5,Gamera vs. Jiger
7.4,Claire's Knee
5.8,"Hi, Mom!"
6.7,House of Dark Shadows
5.5,The Landlord
6.0,On a Clear Day You Can See Forever
6.9,Performance
6.1,Long Live Death
7.1,Zabriskie Point
7.0,The Beguiled
7.4,The Devils
7.2,Duel
5.9,Evil Roy Slade
6.2,The Go-Between
7.2,Johnny Got His Gun
6.5,Lawman
6.6,Let's Scare Jessica to Death
7.5,They Call Me Trinity
8.2,Mon oncle Antoine
7.1,A New Leaf
7.0,Nicholas and Alexandra
6.5,Von Richthofen and Brown
5.9,Scars of Dracula
6.6,Support Your Local Gunfighter
4.7,Sweet Sweetback's Baadasssss Song
7.4,El Topo
1.5,Blood of Ghastly Horror
6.2,Brother John
6.2,Dr. Phibes Rises Again
6.0,Dracula A.D. 1972
7.0,Get to Know Your Rabbit
6.9,The Tall Blond Man with One Black Shoe
7.1,Lone Wolf and Cub: Sword of Vengeance
7.3,Lone Wolf and Cub: Baby Cart at the River Styx
7.2,Lady Sings the Blues
5.6,Payday
4.2,Slither
7.4,Trafic
7.1,The Mad Adventures of Rabbi Jacob
7.0,Charley Varrick
6.0,Dark Star
6.0,A Delicate Balance
6.4,Bram Stoker's Dracula
6.8,Emperor of the North
6.2,Executive Action
6.6,The Glass Menagerie
7.1,My Name Is Nobody
4.0,Invasion of the Bee Girls
6.4,Lemora: A Child's Tale of the Supernatural
5.9,Phase IV
7.1,Save the Tiger
6.8,Scarecrow
6.8,Sisters
7.0,The Spook Who Sat by the Door
6.7,Theatre of Blood
6.5,Walking Tall
7.3,Butley
6.5,California Split
5.1,The Cars That Ate Paris
7.1,Conrack
6.3,The Living Dead at Manchester Morgue
4.9,Emmanuelle
7.4,The Phantom of Liberty
5.4,Flesh for Frankenstein
6.8,General Idi Amin Dada
6.5,Gone in 60 Seconds
5.3,The Groove Tube
7.1,Harry and Tonto
7.8,Hearts and Minds
7.7,The Holy Mountain
6.0,The Little Prince
6.1,The Terminal Man
6.2,Thieves Like Us
6.1,The Adventure of Sherlock Holmes' Smarter Brother
5.0,The Adventures of the Wilderness Family
7.3,"Cousin, Cousine"
5.5,Dolemite
7.3,The Twelve Tasks of Asterix
4.9,Emmanuelle II
6.8,"Farewell, My Lovely"
5.3,The Fortune
6.6,French Connection II
6.0,The Great Waldo Pepper
6.9,The Story of Adele H
6.6,Night Moves
7.5,The Passenger
7.0,Sister Street Fighter
6.4,Supervixens
6.6,Trilogy of Terror
7.5,1900
7.7,Small Change
5.5,From Noon Till Three
5.7,Futureworld
7.7,Harlan County U.S.A.
6.3,Hollywood Boulevard
6.1,The Marquise of O
6.0,Mistress
7.4,The Message
6.2,The Missouri Breaks
6.8,Silver Streak
5.6,Up!
6.8,Who Can Kill a Child?
6.6,ABBA - The Movie
5.9,Demon Seed
6.5,High Anxiety
7.1,The Man Who Loved Women
5.3,The Hound of the Baskervilles
7.3,Place without Limits
6.1,"New York, New York"
7.1,Providence
7.5,Sorcerer
6.0,The Turning Point
6.5,The Rutles: All You Need Is Cash
6.6,Brass Target
6.4,Capricorn One
6.6,Gates of Heaven
7.0,Harper Valley P.T.A.
6.0,The Hobbit
7.3,In Praise Of Older Women
4.1,Parts: The Clonus Horror
6.2,The Grapes of Death
6.5,A Wedding
5.0,Best Boy
7.4,French Fried Vacation 2
6.6,Buffet Froid
7.3,Hair
7.3,I as in Icarus
6.7,The In-Laws
5.8,Love at First Bite
6.9,La Luna
7.5,Opening Night
5.6,Quintet
6.4,Rockers
6.9,Starting Over
6.2,Defiance
7.2,The Hitch Hikers Guide to the Galaxy
5.4,Treasure of the Yankee Zephyr
8.0,Smiley's People
6.6,The Scarlet Pimpernel
6.7,Bad Boys
7.6,Barefoot Gen
5.9,Blue Thunder
5.4,D.C. Cab
6.7,The Day After
4.8,Deal of the Century
4.7,Doctor Detroit
7.7,Eddie Murphy: Delirious
6.6,El Norte
5.9,Lianna
7.4,"Merry Christmas, Mr. Lawrence"
5.5,The Pirates of Penzance
6.4,The Raiders of Atlantis
7.1,First Name: Carmen
6.3,Rock & Rule
6.3,Sugar Cane Alley
6.8,Rumble Fish
6.9,The Makioka Sisters
6.1,Star 80
5.6,The Star Chamber
5.2,Strange Invaders
4.9,Stroker Ace
7.0,To Be or Not to Be
6.2,Twilight Zone: The Movie
6.6,Suburbia
5.7,Yellowbeard
7.1,One Deadly Summer
5.9,Another Country
6.9,Boy Meets Girl
6.0,Choose Me
7.1,A Christmas Carol
6.2,Cloak & Dagger
6.5,Comfort and Joy
6.1,Dangerous Moves
6.4,Electric Dreams
5.9,The Ewok Adventure
6.5,The Hit
5.7,The Ice Pirates
5.0,Irreconcilable Differences
5.0,The Last Polka
5.1,Next of Kin
7.5,Full Moon in Paris
5.8,Racing with the Moon
5.6,"Silent Night, Deadly Night"
7.1,The Times of Harvey Milk
7.4,What Have I Done to Deserve This?
8.2,Anne of Green Gables
6.5,Asterix vs. Caesar
4.6,Barbarian Queen
6.0,Beer
5.2,Bliss
5.9,Death of a Salesman
6.5,Demons
5.4,Ewoks: The Battle for Endor
6.9,Heaven Help Us
7.7,Mishima: A Life in Four Chapters
6.1,9 Deaths of the Ninja
6.7,The Quiet Earth
5.9,Spies Like Us
5.8,The Stuff
6.3,Target
6.4,The Unknown Soldier
6.4,Vision Quest
6.2,White Nights
6.7,’Round Midnight
6.8,Asterix in Britain
6.0,The Best of Times
4.3,Club Paradise
6.4,Dead End Drive-In
6.6,Flodder
6.6,Ginger and Fred
6.0,Nobody's Fool
5.0,The Park is Mine
6.3,Sherman's March
5.1,Solarbabies
6.6,G.I. Joe: The Movie
5.7,Hell Comes to Frogtown
7.2,Law of Desire
6.8,Malone
7.3,Pathfinder
6.6,Prince of Darkness
5.7,Street Smart
4.7,Weeds
7.1,The Whales of August
6.1,The Bourne Identity
4.4,Cannibal Women in the Avocado Jungle of Death
6.6,Cobra Verde
6.8,Comic Book Confidential
6.1,Dominick and Eugene
5.8,Jack's Back
5.8,Killer Klowns from Outer Space
6.0,Moonwalker
6.0,Pascali's Island
6.7,Prison
5.3,Split Decisions
7.4,Tales from the Gimli Hospital
6.8,Life Is a Long Quiet River
5.4,A World Apart
10.0,Common Threads: Stories from the Quilt
7.6,Kiki's Delivery Service
7.2,Monsieur Hire
5.0,Moon 44
7.5,Rikyu
5.8,Speaking Parts
7.5,Prime Suspect
6.6,Boiling Point
5.6,Almost an Angel
6.6,Black Rainbow
6.4,Cry-Baby
5.9,Downtown
5.7,Frankenhooker
7.1,The Garden
4.5,Ghost Dad
5.6,Hard to Kill
5.5,Havana
6.1,Shipwrecked
7.0,I Hired a Contract Killer
5.6,The Krays
5.9,Lionheart
5.6,Narrow Margin
5.5,Nuns on the Run
6.6,Patlabor: The Movie
6.7,The Reflecting Skin
6.4,Riff-Raff
6.5,State of Grace
6.5,Auntie Danielle
5.8,Time to Kill
6.2,"Welcome Home, Roxy Carmichael"
7.7,35 Up
5.5,Across the Tracks
5.0,Begotten
6.4,Cadence
6.6,Closet Land
4.8,Delusion
5.5,Dollman
6.4,Dutch
5.9,Guilty by Suspicion
8.0,Hearts of Darkness: A Filmmaker's Apocalypse
5.4,High Strung
5.9,Homicide
7.4,Johnny Stecchino
5.6,A Kiss Before Dying
5.7,Light Sleeper
8.0,The Linguini Incident
4.6,Mannequin Two: On the Move
7.0,Only Yesterday
5.8,Once Around
6.1,Other People's Money
5.9,Out for Justice
6.5,Prospero's Books
6.5,Quigley Down Under
7.0,Rubin and Ed
5.0,Shout
5.6,Stone Cold
7.0,Strangers in Good Company
7.2,Surviving Desire
6.3,All the Mornings of the World
7.4,Wild Hearts Can't Be Broken
7.2,Prime Suspect 2
7.1,Aileen Wuornos: The Selling of a Serial Killer
3.2,Barbarian Queen II: The Empress Strikes Back
4.5,Captain America
7.3,Citizen Cohn
6.5,Crossing The Bridge
6.5,Diggstown
6.2,Innocent Blood
4.8,Johnny Suede
7.6,Porco Rosso
7.1,The Stolen Children
5.3,LadyBugs
5.9,The Mambo Kings
5.2,Night and the City
6.2,Shining Through
4.9,Sidekicks
7.5,A Heart in Winter
7.0,Visions of Light
6.4,Return to Lonesome Dove
4.1,American Ninja 5
7.3,The Baby of Mâcon
7.1,Bad Boy Bubby
6.8,Barbarians at the Gate
6.9,Calendar
3.9,Cyborg 2
6.4,The Legend II
5.7,Fortress
5.0,Josh and S.A.M.
6.3,Latcho Drom
6.1,Leningrad Cowboys Meet Moses
4.8,Mr. Nanny
5.6,The Night We Never Met
5.0,Philadelphia Experiment II
6.7,The Positively True Adventures of the Alleged Texas Cheerleader Murdering Mom
6.3,The Snapper
7.3,Sonatine
4.6,Splitting Heirs
7.0,Tai-Chi Master
3.9,Three of Hearts
6.7,The Stand
7.0,71 Fragments of a Chronology of Chance
4.7,Dark Angel: The Ascent
4.5,Darkman II: The Return of Durant
5.0,Embrace of the Vampire
6.3,Felidae
5.6,Floundering
6.0,Freaked
2.5,Golden Gate
7.4,Fist of Legend
6.5,Paperback Romance
7.2,Macross Plus: Movie Edition
5.2,Major League II
5.1,My Father the Hero
4.6,Pumpkinhead II: Blood Wings
7.7,A Pure Formality
5.5,Staggered
6.0,The Langoliers
5.0,Blood & Donuts
7.2,Gonin
6.7,Kivenpyörittäjän kylä
7.2,Last of the Dogmen
7.7,Whisper of the Heart
6.1,The Passion of Darkly Noon
6.7,Street Fighter II: The Animated Movie
6.9,Trinity And Beyond: The Atomic Bomb Movie
6.0,Tromeo & Juliet
6.8,Cannibal! The Musical
7.0,A Summer's Tale
5.1,Fetishes
5.3,Jack Frost
5.8,The Late Shift
6.6,My Man
5.0,No Way Back
7.6,No Way Home
5.7,Robinson Crusoe
6.1,Sgt. Kabukiman N.Y.P.D.
7.4,Earth
6.7,Emma
5.0,American Perfekt
1.5,Bikini Summer III: South Beach Heat
6.7,The Boxer
5.7,The Brave
6.2,Cremaster 5
6.0,Executive Target
6.0,Face
6.0,Snow White: A Tale of Terror
6.5,Gummo
5.7,Chicago Cab
4.2,Kiss or Kill
5.8,Mean Guns
6.3,Men with Guns
6.6,Nirvana
6.2,Dance with the Devil
5.2,Photographing Fairies
6.6,Postman Blues
4.5,Quicksilver Highway
6.4,The Swindle
5.9,Safe House
5.9,"Sick: The Life and Death of Bob Flanagan, Supermasochist"
6.7,The Lion King 2: Simba's Pride
5.5,Wishful Thinking
8.4,From the Earth to the Moon
4.4,Beowulf
4.6,From Dusk Till Dawn 3: The Hangman's Daughter
6.8,The Interview
6.3,RKO 281
4.4,From Dusk Till Dawn 2: Texas Blood Money
6.2,"Torrente, the Dumb Arm of the Law"
7.4,Bruno
5.1,Dead Man's Curve
6.9,Fudoh: The New Generation
6.7,Gia
7.0,Thursday
6.1,Wavelength
6.0,Merlin
6.0,Rogue Trader
5.0,Breast Men
6.0,A Murder of Crows
7.5,"Bang, Boom, Bang"
6.9,Batman & Mr. Freeze: SubZero
6.8,The Pentagon Wars
6.4,Two Hands
6.5,Brave New World
3.9,Addams Family Reunion
5.3,Thick as Thieves
6.7,Set Me Free
6.0,Claire Dolan
5.8,Jigoku
6.0,The Class Trip
6.3,Das merkwürdige Verhalten geschlechtsreifer Großstädter zur Paarungszeit
4.4,Purgatory
7.8,Lady Snowblood
6.3,Takedown
3.7,The Bodyguard
5.8,Vidocq
3.8,Molokai: The Story of Father Damien
7.9,Le Samouraï
3.6,Candyman: Day of the Dead
5.7,The 4th Floor
7.1,The Batman Superman Movie: World's Finest
8.1,The End of Evangelion
6.9,He Died with a Felafel in His Hand
